Date,Open,High,Low,Close,Volume
2014-09-30,170.6198,171.1463,169.6877,170.2832,103996350
2014-10-01,169.7654,169.8258,167.3574,167.8321,162833998
2014-10-02,167.5905,168.3456,166.0111,167.8321,144896915
2014-10-03,168.8851,169.9725,168.3672,169.7395,100971376
2014-10-06,170.3178,170.5422,168.8005,169.4892,96498403
2014-10-07,168.5398,168.9196,166.7878,167.4265,126389121
2014-10-08,166.8914,169.9553,166.0197,169.4763,168810989
2014-10-09,169.4461,169.6791,166.2096,166.8569,189651569
2014-10-10,166.3045,167.133,164.423,165.1091,193707850
2014-10-13,164.3799,164.9754,161.6526,162.9213,200801365
