,Date,Open,High,Low,Close,prev_close,Volume,gapped_percent,is_gapped,up_or_down,is_half_percent_continutation_target_price,is_half_percent_continued,is_gap_fill,max_gap_and_go_percentage,continuation_fill_time,greatest_continuation_fill_time
3583,2019-05-13,266.607,267.6171,264.2564,264.9739,272.3758,106277776,-2.117956147352297,True,2,265.25,True,False,-2.9809549893933456,01:45:00,03:50:00
3591,2019-05-23,267.3056,267.3528,264.8606,266.2751,269.9488,82591351,-0.979148638556637,True,2,265.96,True,False,-1.8848759468462275,00:20:00,05:30:00
3594,2019-05-29,263.2935,263.7183,261.2167,262.1796,265.4553,91207803,-0.8143743974974422,True,2,261.97,True,False,-1.5967283380667174,02:05:00,02:20:00
3598,2019-06-04,261.6038,264.9644,261.1317,264.1762,257.9788,66732992,1.405154221974829,True,1,262.89,True,False,2.707819402214459,01:30:00,06:25:00
3608,2019-06-18,275.0748,277.1327,274.6972,275.981,273.3991,75313731,0.612913502641379,True,1,276.44,True,False,1.3656226373825022,00:10:00,01:30:00
3639,2019-08-02,278.7462,279.0023,275.9478,277.8729,280.1596,95629766,-0.5044981503400291,True,2,277.35,True,False,-1.5033573720122526,00:35:00,01:30:00
3640,2019-08-05,273.2823,273.3961,267.2397,268.5867,277.8729,149170305,-1.652050271904887,True,2,271.89,True,False,-3.826641604848831,00:30:00,05:35:00
3641,2019-08-06,271.2143,273.2348,269.6681,272.1914,268.5867,98191969,0.9783060739790811,True,1,272.56,True,False,1.730577128353712,04:45:00,06:20:00
3642,2019-08-07,269.7819,273.9747,267.5432,273.6617,272.1914,110389529,-0.8852226778656417,True,2,268.42,True,True,-1.707695393756002,00:15:00,00:15:00
3645,2019-08-12,275.0561,276.6168,272.2673,273.1465,277.4751,55471166,-0.8717899371871504,True,2,273.67,True,False,-1.8768530942055774,04:10:00,05:25:00
3647,2019-08-14,273.2633,277.4318,269.1748,269.4191,277.4514,114406673,-1.5094895898885223,True,2,271.88,True,False,-2.983081000852753,01:25:00,05:50:00
3649,2019-08-16,271.755,274.4585,270.0796,273.6759,269.9716,66766930,0.6605880025898916,True,1,273.1,True,False,1.6619896315019769,00:50:00,06:25:00
3654,2019-08-23,275.9668,277.7122,268.8997,270.389,277.6174,117810288,-0.5945592747428646,True,2,274.58,True,True,-3.140185017221536,01:30:00,06:25:00
3658,2019-08-29,276.7257,278.0917,275.6727,277.4103,273.6427,49472271,1.1266516519534513,True,1,278.09,True,False,1.6258427504187074,04:40:00,04:40:00
3662,2019-09-05,281.5351,283.4702,281.3928,282.958,278.6845,72819388,1.0228771244902337,True,1,282.93,True,False,1.71724656376654,00:40:00,00:45:00
3666,2019-09-11,283.1287,284.9026,282.4457,284.3334,281.6204,55661424,0.5355790986732363,True,1,284.54,True,False,1.16546954695043,06:10:00,06:25:00
3679,2019-09-30,282.0538,283.5595,282.0061,283.0163,280.599,42173018,0.5184622896018997,True,1,283.46,True,False,1.0550643444916143,02:55:00,04:15:00
3681,2019-10-02,277.7939,277.8035,273.1625,274.6968,279.9953,109650050,-0.786227483104173,True,2,276.39,True,False,-2.440326676912064,00:05:00,03:25:00
3683,2019-10-04,277.4509,280.7768,277.3937,280.062,275.7927,50700124,0.6012486914990735,True,1,278.83,True,False,1.8071906906890411,00:30:00,06:25:00
3685,2019-10-08,277.3556,278.1275,274.9255,276.9077,280.0239,82885280,-0.9528829503481826,True,2,275.96,True,False,-1.8207017329592317,00:30:00,06:25:00
3688,2019-10-11,282.3397,284.6935,282.2203,284.1694,279.4998,83204669,1.016065127774689,True,1,283.74,True,False,1.8582124209033346,00:15:00,02:00:00
3763,2020-02-03,309.6614,312.3524,309.5369,311.0596,307.7173,59060165,0.6317811835733615,True,1,311.2,True,False,1.5062851519885185,00:15:00,00:55:00
3764,2020-02-04,314.1816,316.0395,313.8464,315.7569,311.0596,52512833,1.0036661784429781,True,1,315.74,True,False,1.6009472139744239,02:00:00,05:15:00
3777,2020-02-24,309.4603,319.4414,307.6407,310.0062,319.0369,134914814,-3.0017217444126323,True,2,307.87,True,True,-3.5720632942459076,03:45:00,03:45:00
3780,2020-02-27,292.5287,298.3741,284.9249,289.3014,298.8781,249706794,-2.124411256629376,True,2,291.03,True,False,-4.668525395470607,00:15:00,06:25:00
3781,2020-02-28,276.4783,285.2811,273.452,277.3689,289.3014,332038241,-4.432436206668896,True,2,275.03,True,False,-5.478507881399814,00:25:00,00:30:00
3782,2020-03-02,285.5857,296.0721,281.9944,290.556,277.3689,205636837,2.9624085468846646,True,1,286.97,True,False,6.743077540416385,01:20:00,06:25:00
3783,2020-03-03,296.3977,300.554,284.9728,290.4027,290.556,271529926,2.010524649293081,True,1,297.85,True,True,3.4409890003992314,00:30:00,00:30:00
3784,2020-03-04,293.1608,299.8453,290.4889,298.1981,290.4027,147338447,0.9497501228466585,True,1,294.61,True,False,3.2515537906500276,03:25:00,06:25:00
